Student,Observed1,Observed2,Observed3,Observed4,Observed5,Observed6,Observed7,Observed8,Inference1,Inference2,Inference3,Inference4
1,3,4,6,7,8,9,10,11,1,2,5,12,
2,1,2,4,6,9,10,11,12,3,5,7,8,
3,3,4,5,7,8,10,11,12,1,2,6,9,
4,2,4,5,6,7,9,11,12,1,3,8,10,
5,1,3,4,6,7,10,11,12,2,5,8,9,
6,2,3,5,7,9,10,11,12,1,4,6,8,
7,2,4,5,6,7,9,10,11,1,3,8,12,
8,1,2,3,7,9,10,11,12,4,5,6,8,
9,1,3,4,5,8,9,11,12,2,6,7,10,
10,4,5,6,7,8,10,11,12,1,2,3,9,
11,2,3,4,5,6,7,10,11,1,8,9,12,
12,1,2,3,4,6,9,10,11,5,7,8,12,
13,1,2,3,4,5,8,9,11,6,7,10,12,
14,2,3,6,7,9,10,11,12,1,4,5,8,
15,1,2,4,6,7,8,9,12,3,5,10,11,
16,3,4,5,6,7,9,10,11,1,2,8,12,
17,1,3,4,5,6,9,10,11,2,7,8,12,
18,1,2,4,6,7,9,10,12,3,5,8,11,
19,1,2,3,4,7,9,10,12,5,6,8,11,
20,2,4,5,6,7,9,10,11,1,3,8,12,
21,1,2,4,6,7,8,10,12,3,5,9,11,
22,1,4,5,6,9,10,11,12,2,3,7,8,
23,1,2,4,7,8,10,11,12,3,5,6,9,
24,1,2,3,4,5,6,7,11,8,9,10,12,
25,1,3,6,7,9,10,11,12,2,4,5,8,
26,1,2,5,6,7,9,10,11,3,4,8,12,
27,1,3,5,6,9,10,11,12,2,4,7,8,
28,3,4,5,8,9,10,11,12,1,2,6,7,
29,1,2,3,4,5,6,10,11,7,8,9,12,
30,1,3,6,7,8,9,11,12,2,4,5,10,
31,1,2,6,8,9,10,11,12,3,4,5,7,
32,2,3,4,5,6,7,9,12,1,8,10,11,
33,1,2,3,5,6,7,8,9,4,10,11,12,
34,2,3,5,6,7,9,10,11,1,4,8,12,
35,3,6,7,8,9,10,11,12,1,2,4,5,
36,1,2,4,6,7,9,11,12,3,5,8,10,
37,2,3,4,5,7,8,9,11,1,6,10,12,
38,1,3,5,7,8,9,10,12,2,4,6,11,
39,1,3,7,8,9,10,11,12,2,4,5,6,
40,1,2,5,6,7,8,9,10,3,4,11,12,
41,2,3,4,5,8,10,11,12,1,6,7,9,
42,2,3,4,6,8,10,11,12,1,5,7,9,
